Date,Temperature
2023-01-01,10.5
2023-01-02,11.0
2023-01-03,12.3
2023-01-04,13.1
2023-01-05,14.0
2023-01-06,13.5
2023-01-07,12.8
2023-01-08,12.0
2023-01-09,11.5
2023-01-10,10.9
2023-01-11,10.2
2023-01-12,9.8
2023-01-13,9.5
2023-01-14,9.2
2023-01-15,9.0
2023-01-16,9.5
2023-01-17,10.0
2023-01-18,10.5
2023-01-19,11.0
2023-01-20,11.5
2023-01-21,12.0
2023-01-22,12.5
2023-01-23,13.0
2023-01-24,13.5
2023-01-25,14.0
2023-01-26,14.5
2023-01-27,15.0
2023-01-28,15.5
2023-01-29,16.0
2023-01-30,16.5
2023-01-31,17.0
